DatasetName Sushi_xsc[pb] Sushi_xsc_err[pb]
HToZATo2L2B_997p14_55p16_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_64p24_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_74p80_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_87p10_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_101p43_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_118p11_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_137p54_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_160p17_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_186p51_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_217p19_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_254p82_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_298p97_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_350p77_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_411p54_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
